date,pmms30,pmms30p,pmms15,pmms15p,pmms51,pmms51p,pmms51m,pmms51spread
2/7/2008,5.67,0.4,5.15,0.4,5.21,0.4,2.75,
2/14/2008,5.72,0.4,5.25,0.4,5.19,0.4,2.75,
2/21/2008,6.04,0.6,5.64,0.5,5.37,0.5,2.75,
2/28/2008,6.24,0.5,5.72,0.5,5.43,0.4,2.75,
3/6/2008,6.03,0.5,5.47,0.5,5.34,0.5,2.75,
3/13/2008,6.13,0.5,5.6,0.5,5.58,0.6,2.75,
3/20/2008,5.87,0.5,5.27,0.5,5.56,0.9,2.75,
3/27/2008,5.85,0.4,5.34,0.4,5.67,0.6,2.74,
4/3/2008,5.88,0.5,5.42,0.5,5.59,0.6,2.75,
4/10/2008,5.88,0.4,5.42,0.4,5.56,0.6,2.76,
4/17/2008,5.88,0.4,5.4,0.5,5.48,0.6,2.75,
4/24/2008,6.03,0.3,5.62,0.3,5.68,0.5,2.76,
5/1/2008,6.06,0.5,5.59,0.5,5.73,0.5,2.76,
5/8/2008,6.05,0.3,5.6,0.3,5.67,0.5,2.76,
5/15/2008,6.01,0.6,5.6,0.5,5.57,0.6,2.75,
5/22/2008,5.98,0.5,5.55,0.6,5.61,0.6,2.76,
5/29/2008,6.08,0.6,5.66,0.6,5.62,0.5,2.78,
6/5/2008,6.09,0.6,5.65,0.6,5.51,0.5,2.76,
6/12/2008,6.32,0.7,5.93,0.6,5.7,0.7,2.76,
6/19/2008,6.42,0.7,6.02,0.7,5.89,0.6,2.76,
6/26/2008,6.45,0.6,6.04,0.6,5.99,0.7,2.74,
7/3/2008,6.35,0.6,5.92,0.6,5.78,0.7,2.75,
7/10/2008,6.37,0.6,5.91,0.6,5.82,0.6,2.73,
7/17/2008,6.26,0.6,5.78,0.6,5.8,0.6,2.75,
7/24/2008,6.63,0.6,6.18,0.6,6.16,0.7,2.75,
7/31/2008,6.52,0.7,6.07,0.6,6.07,0.6,2.74,
8/7/2008,6.52,0.7,6.1,0.7,6.05,0.6,2.73,
8/14/2008,6.52,0.7,6.07,0.7,6.02,0.6,2.74,
8/21/2008,6.47,0.7,6,0.7,5.99,0.6,2.72,
8/28/2008,6.4,0.6,5.93,0.6,6.03,0.6,2.74,
9/4/2008,6.35,0.7,5.9,0.6,5.97,0.6,2.75,
9/11/2008,5.93,0.7,5.54,0.7,5.87,0.7,2.73,
9/18/2008,5.78,0.6,5.35,0.6,5.67,0.6,2.72,
9/25/2008,6.09,0.7,5.77,0.6,6.02,0.6,2.74,
10/2/2008,6.1,0.6,5.78,0.6,6,0.6,2.75,
10/9/2008,5.94,0.6,5.63,0.6,5.9,0.6,2.74,
10/16/2008,6.46,0.6,6.14,0.6,6.14,0.6,2.74,
