Date,CPI
2/29/08,211.7
3/31/08,213.5
4/30/08,214.8
5/31/08,216.6
6/30/08,218.8
7/31/08,219.964
8/31/08,219.086
9/30/08,218.783
10/31/08,216.573
11/30/08,212.425
12/31/08,210.228
1/31/09,211.143
2/28/09,212.193
3/31/09,212.709
4/30/09,213.24
5/31/09,213.856
6/30/09,215.693
7/31/09,215.351
8/31/09,215.834
9/30/09,215.969
10/31/09,216.177
11/30/09,216.33
12/31/09,215.949
1/31/10,216.687
2/28/10,216.741
3/31/10,217.631
4/30/10,218.009
5/31/10,218.178
6/30/10,217.965
7/31/10,218.011
8/31/10,218.312
9/30/10,218.439
10/31/10,218.711
11/30/10,218.803
12/31/10,219.179
1/31/11,220.223
2/28/11,221.309
3/31/11,223.467
4/30/11,224.906
5/31/11,225.964
6/30/11,225.722
7/31/11,225.922
8/31/11,226.545
9/30/11,226.889
10/31/11,226.421
11/30/11,226.23
12/31/11,225.672
1/31/12,226.655
2/29/12,227.663
3/31/12,229.392
4/30/12,230.085
5/31/12,229.815
6/30/12,229.478
7/31/12,229.104
8/31/12,230.379
9/30/12,231.407
10/31/12,231.317
11/30/12,230.221
12/31/12,229.601
1/31/13,230.28
2/28/13,232.166
3/31/13,232.773
4/30/13,232.531
5/31/13,232.945
6/30/13,233.504
7/31/13,233.596
8/31/13,233.877
9/30/13,234.149
10/31/13,233.546
11/30/13,233.069
12/31/13,233.049
1/31/14,233.916
2/28/14,234.781
3/31/14,236.293
4/30/14,237.072
5/31/14,237.9
6/30/14,238.343
7/31/14,238.25
8/31/14,237.852
9/30/14,238.031
10/31/14,237.433
11/30/14,236.151
12/31/14,234.812
1/31/15,233.707
2/28/15,234.722
3/31/15,236.119
4/30/15,236.599
5/31/15,237.805
6/30/15,238.638
7/31/15,238.654
8/31/15,238.316
9/30/15,237.945
10/31/15,237.838
11/30/15,237.336
12/31/15,236.525
1/31/16,236.916
2/29/16,237.111
3/31/16,238.132
4/30/16,239.261
5/31/16,240.236
6/30/16,241.038
7/31/16,240.647
8/31/16,240.853
9/30/16,241.428
10/31/16,241.729
11/30/16,241.353
12/31/16,241.432
1/31/17,242.839
2/28/17,243.603
3/31/17,243.801
4/30/17,244.524
5/31/17,244.733
6/30/17,244.955
7/31/17,244.786
8/31/17,245.519
9/30/17,246.819
10/31/17,246.663
11/30/17,246.669
12/31/17,246.524
1/31/18,247.867
2/28/18,248.991
3/31/18,249.554
4/30/18,250.546
5/31/18,251.588
6/30/18,251.989
7/31/18,252.006
8/31/18,252.146
9/30/18,252.439
10/31/18,252.885
11/30/18,252.038
12/31/18,251.233
1/31/19,251.712
2/28/19,252.776
3/31/19,254.202
4/30/19,255.548
5/31/19,256.092
6/30/19,256.143
7/31/19,256.571
8/31/19,256.558
9/30/19,256.759
10/31/19,257.346
11/30/19,257.208
12/31/19,256.974
1/31/20,257.971
2/29/20,258.678
3/31/20,258.115
4/30/20,256.389
5/31/20,256.394
6/30/20,257.797
7/31/20,259.101
8/31/20,259.918
