Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID
63rd Street Weather Station,01/01/2017 12:00:00 AM,-1.7,-3,75,0,0,39.3,0,276,2.8,4.8,992.8,5,354,11.8,01/01/2017 12:00 AM,63rdStreetWeatherStation201701012400
63rd Street Weather Station,01/01/2017 02:00:00 AM,-2.7,-3.8,78,0,0,39.3,0,258,1.1,1.6,993.6,5,354,11.9,01/01/2017 2:00 AM,63rdStreetWeatherStation201701010200
Foster Weather Station,01/01/2017 02:00:00 AM,-2.89,,67,,0,,,264,1.2,1.3,993.2,0,,14.8,01/01/2017 2:00 AM,FosterWeatherStation201701010200
Oak Street Weather Station,01/01/2017 02:00:00 AM,-1.5,-3.1,70,0,0,135.1,0,347,1.6,2.4,994.1,2,0,12,01/01/2017 2:00 AM,OakStreetWeatherStation201701010200
63rd Street Weather Station,01/01/2017 03:00:00 AM,-2.8,-3.8,80,0,0,39.3,0,219,1.3,2,994.5,5,353,11.9,01/01/2017 3:00 AM,63rdStreetWeatherStation201701010300
Foster Weather Station,01/01/2017 03:00:00 AM,-3.17,,69,,0,,,203,1.3,1.5,993.6,0,,15.2,01/01/2017 3:00 AM,FosterWeatherStation201701010300
Oak Street Weather Station,01/01/2017 03:00:00 AM,-1.4,-3,69,0,0,135.1,0,304,0.8,1.7,994.6,2,0,12,01/01/2017 3:00 AM,OakStreetWeatherStation201701010300
63rd Street Weather Station,01/01/2017 04:00:00 AM,-3.1,-4.1,81,0,0,39.3,0,223,2.2,4,994.6,5,353,11.8,01/01/2017 4:00 AM,63rdStreetWeatherStation201701010400
Foster Weather Station,01/01/2017 04:00:00 AM,-3.28,,70,,0,,,204,3.4,3.6,993.9,0,,15.2,01/01/2017 4:00 AM,FosterWeatherStation201701010400
Oak Street Weather Station,01/01/2017 04:00:00 AM,-1.3,-2.9,71,0,0,135.1,0,336,1.3,2.1,994.8,2,0,12,01/01/2017 4:00 AM,OakStreetWeatherStation201701010400
63rd Street Weather Station,01/01/2017 05:00:00 AM,-3.7,-4.6,82,0,0,39.3,0,245,1.9,2.7,995.2,5,354,11.9,01/01/2017 5:00 AM,63rdStreetWeatherStation201701010500
Foster Weather Station,01/01/2017 05:00:00 AM,-3.56,,71,,0,,,231,2.9,3.1,994.6,0,,14.8,01/01/2017 5:00 AM,FosterWeatherStation201701010500
Oak Street Weather Station,01/01/2017 05:00:00 AM,-2,-3.4,73,0,0,135.1,0,316,1.6,2.7,995.4,2,0,11.9,01/01/2017 5:00 AM,OakStreetWeatherStation201701010500
63rd Street Weather Station,01/01/2017 06:00:00 AM,-3.8,-4.6,83,0,0,39.3,0,250,2.7,4.1,995.8,5,354,11.8,01/01/2017 6:00 AM,63rdStreetWeatherStation201701010600
Foster Weather Station,01/01/2017 06:00:00 AM,-4.17,,72,,0,,,248,2.2,2.5,994.9,0,,14.9,01/01/2017 6:00 AM,FosterWeatherStation201701010600
Oak Street Weather Station,01/01/2017 06:00:00 AM,-2.4,-3.7,74,0,0,135.1,0,297,2.2,3.4,996.1,2,0,12,01/01/2017 6:00 AM,OakStreetWeatherStation201701010600
63rd Street Weather Station,01/01/2017 07:00:00 AM,-4.1,-4.9,83,0,0,39.3,0,241,2.7,4.2,996.5,5,354,11.9,01/01/2017 7:00 AM,63rdStreetWeatherStation201701010700
Foster Weather Station,01/01/2017 07:00:00 AM,-4.28,,73,,0,,,202,2.7,2.9,995.9,0,,15.2,01/01/2017 7:00 AM,FosterWeatherStation201701010700
Oak Street Weather Station,01/01/2017 07:00:00 AM,-2.4,-3.8,73,0,0,135.1,0,308,2.2,4.6,996.7,3,0,12.1,01/01/2017 7:00 AM,OakStreetWeatherStation201701010700
63rd Street Weather Station,01/01/2017 08:00:00 AM,-3.6,-4.5,81,0,0,39.3,0,253,3,4.3,997,51,354,11.9,01/01/2017 8:00 AM,63rdStreetWeatherStation201701010800
Foster Weather Station,01/01/2017 08:00:00 AM,-4.28,,71,,0,,,224,3.1,3.6,996.6,0,,15.2,01/01/2017 8:00 AM,FosterWeatherStation201701010800
