Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label
Oak Street Weather Station,12/01/2016 01:00:00 AM,3.90,1.9,71,0.0,0.00,70.7,0,311,2.6,5.2,982.8,1,0,12.0,12/01/2016 1:00 AM
Oak Street Weather Station,12/01/2016 02:00:00 AM,3.70,2.0,76,0.0,0.00,70.7,60,266,2.7,7.3,983.2,1,0,12.0,12/01/2016 2:00 AM
Oak Street Weather Station,12/01/2016 03:00:00 AM,3.60,2.1,78,0.0,0.00,70.7,60,260,2.4,5.8,983.5,1,0,12.1,12/01/2016 3:00 AM
Oak Street Weather Station,12/01/2016 04:00:00 AM,3.70,2.2,77,0.0,0.00,70.7,0,309,1.6,2.9,983.7,1,1,12.0,12/01/2016 4:00 AM
Oak Street Weather Station,12/01/2016 05:00:00 AM,4.20,2.6,77,0.0,0.00,70.7,0,260,2.5,4.6,984.3,1,0,12.0,12/01/2016 5:00 AM
Oak Street Weather Station,12/01/2016 06:00:00 AM,4.10,2.6,80,0.0,0.00,70.7,0,290,1.6,5.0,984.9,1,0,12.1,12/01/2016 6:00 AM
Oak Street Weather Station,12/01/2016 07:00:00 AM,4.30,2.8,78,0.0,0.00,70.7,0,265,1.9,5.1,985.4,2,0,12.0,12/01/2016 7:00 AM
Oak Street Weather Station,12/01/2016 08:00:00 AM,4.60,3.0,77,0.0,0.00,70.7,0,262,2.3,4.9,986.3,18,0,11.9,12/01/2016 8:00 AM
Oak Street Weather Station,12/01/2016 09:00:00 AM,4.80,3.0,74,0.0,0.00,70.7,0,327,0.8,2.6,986.9,60,0,12.0,12/01/2016 9:00 AM
Oak Street Weather Station,12/01/2016 10:00:00 AM,5.30,3.4,74,0.0,0.00,70.7,0,309,1.7,4.1,987.9,59,0,12.1,12/01/2016 10:00 AM
Oak Street Weather Station,12/01/2016 11:00:00 AM,5.60,3.5,73,0.0,0.00,70.7,0,295,1.8,4.4,988.0,85,0,12.0,12/01/2016 11:00 AM
Oak Street Weather Station,12/01/2016 12:00:00 PM,6.00,3.8,71,0.0,0.00,70.7,0,340,2.7,5.2,988.0,74,1,11.8,12/01/2016 12:00 PM
Oak Street Weather Station,12/01/2016 01:00:00 PM,5.60,3.6,73,0.0,0.00,70.7,0,315,2.0,4.5,988.6,50,1,12.1,12/01/2016 1:00 PM
Oak Street Weather Station,12/01/2016 02:00:00 PM,5.70,3.4,69,0.0,0.00,70.7,0,277,2.3,4.9,989.1,45,0,12.0,12/01/2016 2:00 PM
Oak Street Weather Station,12/01/2016 03:00:00 PM,5.80,3.3,67,0.0,0.00,70.7,0,308,1.0,5.1,989.9,20,0,12.1,12/01/2016 3:00 PM
Oak Street Weather Station,12/01/2016 04:00:00 PM,5.20,3.5,77,0.0,0.00,70.7,0,333,1.2,3.3,990.6,3,0,12.0,12/01/2016 4:00 PM
Oak Street Weather Station,12/01/2016 05:00:00 PM,5.60,3.5,71,0.0,0.00,70.7,0,293,1.7,3.6,991.0,1,1,12.1,12/01/2016 5:00 PM
Oak Street Weather Station,12/01/2016 06:00:00 PM,5.30,3.1,70,0.0,0.00,70.7,0,6,1.8,2.4,991.5,1,0,12.1,12/01/2016 6:00 PM
Oak Street Weather Station,12/01/2016 07:00:00 PM,5.20,3.0,70,0.0,0.00,70.7,0,272,0.9,2.7,992.0,1,0,12.0,12/01/2016 7:00 PM
Oak Street Weather Station,12/01/2016 08:00:00 PM,5.10,3.1,72,0.0,0.00,70.7,0,287,1.7,3.7,992.6,1,0,12.1,12/01/2016 8:00 PM
Oak Street Weather Station,12/01/2016 09:00:00 PM,4.70,2.9,75,0.0,0.00,70.7,0,270,1.1,3.6,993.0,1,0,12.0,12/01/2016 9:00 PM
Oak Street Weather Station,12/01/2016 10:00:00 PM,4.60,2.9,75,0.0,0.00,70.7,0,318,1.4,2.8,993.1,1,0,12.0,12/01/2016 10:00 PM
Oak Street Weather Station,12/01/2016 11:00:00 PM,4.50,2.9,76,0.0,0.00,70.7,0,336,1.0,1.2,993.5,1,0,12.0,12/01/2016 11:00 PM
Oak Street Weather Station,12/01/2016 12:00:00 AM,3.90,1.8,70,0.0,0.00,70.7,0,274,2.7,7.2,982.5,1,0,12.0,12/01/2016 12:00 AM
Oak Street Weather Station,12/02/2016 01:00:00 AM,4.20,2.4,74,0.0,0.00,70.7,0,340,1.7,3.8,994.2,1,0,12.0,12/02/2016 1:00 AM
Oak Street Weather Station,12/02/2016 02:00:00 AM,4.20,2.5,76,0.0,0.00,70.7,0,334,1.8,3.2,994.7,1,0,12.0,12/02/2016 2:00 AM
Oak Street Weather Station,12/02/2016 03:00:00 AM,3.90,2.3,76,0.0,0.00,70.7,0,297,1.2,3.8,995.2,1,0,12.0,12/02/2016 3:00 AM
Oak Street Weather Station,12/02/2016 04:00:00 AM,4.10,1.9,70,0.0,0.00,70.7,0,0,0.6,2.6,995.5,1,0,12.0,12/02/2016 4:00 AM
Oak Street Weather Station,12/02/2016 05:00:00 AM,4.20,2.0,68,0.0,0.00,70.7,0,301,1.6,3.9,996.1,1,0,12.1,12/02/2016 5:00 AM
Oak Street Weather Station,12/02/2016 06:00:00 AM,4.50,2.3,69,0.0,0.00,70.7,0,264,0.7,3.4,996.7,1,0,12.0,12/02/2016 6:00 AM
Oak Street Weather Station,12/02/2016 07:00:00 AM,4.50,2.4,70,0.0,0.00,70.7,0,247,0.4,2.1,997.0,3,0,12.1,12/02/2016 7:00 AM
Oak Street Weather Station,12/02/2016 09:00:00 AM,5.00,2.8,70,0.0,0.00,70.7,0,337,1.4,3.0,998.4,61,0,12.0,12/02/2016 9:00 AM
Oak Street Weather Station,12/02/2016 10:00:00 AM,5.10,2.8,68,0.0,0.00,70.7,0,343,2.4,3.8,998.9,52,0,12.0,12/02/2016 10:00 AM
Oak Street Weather Station,12/02/2016 11:00:00 AM,4.80,2.7,71,0.0,0.00,70.7,0,327,1.4,3.6,999.1,61,1,12.0,12/02/2016 11:00 AM
Oak Street Weather Station,12/02/2016 12:00:00 PM,4.90,2.3,64,0.0,0.00,70.7,0,0,2.3,4.4,999.2,60,1,12.1,12/02/2016 12:00 PM
Oak Street Weather Station,12/02/2016 01:00:00 PM,5.00,2.3,62,0.0,0.00,70.7,0,358,2.5,4.5,999.6,77,0,12.1,12/02/2016 1:00 PM
Oak Street Weather Station,12/02/2016 02:00:00 PM,4.70,2.0,62,0.0,0.00,70.7,0,0,3.6,5.3,1000.4,55,1,11.9,12/02/2016 2:00 PM
