RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020
102001,0,United States,Country,US,183500,187000,195000,205000,205000,203000,197000,196000,194000,200000,190000,189900,195000,198000,204000,210255,210000,210000,203000,200000,204900,207900,200000,200000,207000,210000,217500,223000,220500,218500,215000,211406,215000,220000,210000,208000,215000,219783,225000,230000,229000,228000,225000,225000,226000,229000,222000,222000,227000,231995,235000,245000,240000,240000,237981,235000,237943,240000,235000,238000,243000,245000,249500,255000,250000,249900,245000,244000,245500,248000,243000,242500,250000,253000,260000,265000,262500,260000,256000,255500,258000,260000,254000,259900,265000,267000,264820,272500,284000,285500
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,435000,465000,470000,480000,475000,475000,475000,470000,475000,485000,467500,480000,495000,499000,513503,515000,518000,520000,511250,509500,509000,505000,500000,515500,523000,530000,532000,542000,535000,539000,526000,527500,535000,545000,536250,537500,550000,563000,575000,575000,569000,570000,565000,570000,575000,570000,565000,570000,590000,600000,610000,614000,619000,615000,617000,606000,616500,615000,599000,625000,630000,635000,650000,652000,645000,650000,635000,635000,640000,625000,615000,629000,640000,650000,645000,653500,670000,650000,650000,650000,650000,655000,655000,658000,679000,665000,650000,681500,710000,725000
394463,3,"Chicago, IL",Msa,IL,164000,179000,192000,213750,213000,208500,197500,185400,182000,180000,175000,167000,183000,192500,207500,225000,220000,222500,206000,192500,190000,190000,182000,179000,199000,212000,220000,228500,224900,218000,210000,203000,198000,199000,190000,185995,206250,223000,227750,232000,230000,223000,210000,210000,207500,208000,205500,204000,222500,235000,235000,245000,240000,229700,222000,218000,215000,219875,215000,217500,230000,239000,240000,249900,243000,233000,229000,222000,223000,220000,216000,222000,232500,240000,246000,249500,249000,242000,235000,231000,231250,230000,223000,225000,248000,260000,251000,254000,262000,270000
394514,4,"Dallas-Fort Worth, TX",Msa,TX,170000,179900,183000,188000,190000,185000,180000,178500,177500,181000,169900,178500,185766,187500,195000,204000,201000,200000,190000,190000,194000,200000,189900,197000,206000,214500,220000,225144,220000,217900,210000,210000,209488,215890,203794,215233,225000,228000,239900,245500,237000,238500,234000,235000,237000,240000,232500,244848,250000,254000,265000,264000,256000,258000,250000,250000,252000,260000,246000,255000,265000,265000,275000,280000,274000,267000,260000,257000,258000,264900,249900,259000,267000,269093,280000,283000,277000,275000,270000,270000,270000,275000,265000,273900,280000,285000,280000,290000,300000,300000
394974,5,"Philadelphia, PA",Msa,PA,202621,212100,220000,237000,242250,240000,225000,219900,219950,218000,210500,200000,209000,214000,220000,237305,238802,237859,223000,220000,223250,219500,211000,200000,210000,215950,224000,239000,237700,230000,230000,221850,220000,215000,206750,210000,210000,220000,232595,245000,244505,239900,230000,229627,226000,230000,220000,213000,219900,232500,240000,255000,250000,245000,231000,230000,230000,233450,220000,220000,230000,235000,242000,250000,252000,255000,244000,232750,236700,237000,229000,225000,240000,242821,251000,265000,266000,262400,250000,245000,250000,250000,239550,240000,250000,270000,261250,269000,278000,279900
394692,6,"Houston, TX",Msa,TX,173000,184600,185000,191000,190000,186000,184000,178900,180000,185500,177000,179000,179900,189000,190000,200000,200000,210000,199000,194850,198324,210000,197000,199900,205000,205950,217113,224000,220000,218995,210000,206483,204000,216757,203295,205000,213000,216695,222860,228500,230000,225000,220000,215000,221000,225000,210463,216010,227000,227000,230985,237000,230000,228000,230000,227000,225000,226179,218500,224000,230000,239990,242000,242000,243000,238000,230500,230875,232145,239996,226495,230000,240000,243185,247000,252990,249000,248000,242000,239498,245000,250000,236000,246000,247990,252000,247500,260000,269000,265450
395209,7,"Washington, DC",Msa,DC,355000,362000,383990,394000,390000,380000,365000,364950,365000,372000,359000,355000,362397,370000,397500,393080,400000,388000,365000,370000,369092,385000,360000,361000,380000,385000,399000,391615,389900,380000,379000,369000,375000,375000,355719,365000,365000,388708,395000,399000,390000,385000,377000,379000,372000,390000,373673,370000,375000,399865,407764,410000,409400,399900,384995,382000,385987,400000,380000,385000,399900,410000,419000,419000,415402,409000,397656,395000,399000,410000,388000,395000,410000,416850,427500,425000,425000,419000,400000,400000,420000,417500,389900,415000,435000,440000,432750,435000,460000,450000
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,175000,185000,195000,205000,209500,210000,205000,199000,209550,210000,200000,195000,210000,205000,227500,235000,235000,230000,225000,230000,230000,233000,227500,226400,234900,230000,245000,250000,250000,245000,240000,232000,235000,250000,235000,235000,237000,242000,250000,258700,255000,251950,258000,255000,254000,258000,250000,250000,255000,260000,263100,280000,270400,275000,269000,260000,270000,270000,265000,265000,278400,274900,280000,290000,280000,280000,280000,280000,284695,281600,270000,272000,283250,280000,285000,298600,293000,290000,286000,294000,296500,295000,290000,295000,305000,310000,310000,318000,325000,335000
394347,9,"Atlanta, GA",Msa,GA,179777,184000,196900,200000,199900,190000,181000,179450,179500,190000,179900,178500,191500,195000,205000,208000,202800,197500,191500,187000,190000,196000,186000,192000,198000,205000,217000,215000,215000,204392,200000,195000,200500,210000,195000,199450,207745,215000,219000,219300,218000,207980,205000,205000,209900,216613,205000,209000,219825,220320,225000,230000,227000,221000,220000,220000,223900,233748,220000,226900,237285,240000,247000,250000,243000,238147,245000,241050,240000,244832,239000,239335,248000,250000,259900,262500,260000,252500,253900,250000,254000,256000,245000,257000,265000,275000,263110,270000,280000,282000
394404,10,"Boston, MA",Msa,MA,320000,340500,352500,377000,373790,370000,349900,348500,350000,355195,359900,330000,347000,352000,368000,395000,385000,381000,355000,350000,359450,370000,369000,349900,355000,371520,384500,400000,401000,399933,365000,365000,382500,375000,375583,347933,370000,390000,400000,425000,420000,410000,395000,380000,402250,395500,400000,383390,410000,413950,427258,442300,439000,432000,417200,415000,425000,425000,416533,418000,440000,450000,453250,480000,475000,465000,435000,435000,445700,426500,444000,430000,437000,450000,479000,488000,480000,475000,450000,450000,450000,455000,456000,456425,481663,500600,495000,510000,520000,529900
